"timestamp_utc","scenario","metric","labels","value"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_signal_dbm","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","-54.1"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_snr_db","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","24.3"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_phy_rate_down_mbps","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","133.8"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_phy_rate_up_mbps","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","82.9"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_throughput_down_mbps","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","68.4"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_throughput_up_mbps","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","23.2"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_latency_ms","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","19.4"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_jitter_ms","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","5.3"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_packet_loss_percent","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","0"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_retry_rate_percent","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video""","7.5"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_qoe_score","client=""PORTATIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""video"",state=""Buena""","82"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_signal_dbm","client=""MOVIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""mixed""","-56.0"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_snr_db","client=""MOVIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""mixed""","22.4"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_phy_rate_down_mbps","client=""MOVIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""mixed""","133.8"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_phy_rate_up_mbps","client=""MOVIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""mixed""","82.9"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_throughput_down_mbps","client=""MOVIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""mixed""","80.1"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_throughput_up_mbps","client=""MOVIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""mixed""","27.4"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_latency_ms","client=""MOVIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""mixed""","21.6"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_jitter_ms","client=""MOVIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""mixed""","5.2"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_packet_loss_percent","client=""MOVIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""mixed""","0"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_retry_rate_percent","client=""MOVIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""mixed""","7.5"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_qoe_score","client=""MOVIL_SARA"",ap=""AP_SALON"",band=""5GHz"",service=""mixed"",state=""Buena""","82"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_signal_dbm","client=""INVITADO_01"",ap=""AP_SALON"",band=""2.4GHz"",service=""background""","-52.1"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_snr_db","client=""INVITADO_01"",ap=""AP_SALON"",band=""2.4GHz"",service=""background""","24.3"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_phy_rate_down_mbps","client=""INVITADO_01"",ap=""AP_SALON"",band=""2.4GHz"",service=""background""","133.8"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_phy_rate_up_mbps","client=""INVITADO_01"",ap=""AP_SALON"",band=""2.4GHz"",service=""background""","82.9"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_throughput_down_mbps","client=""INVITADO_01"",ap=""AP_SALON"",band=""2.4GHz"",service=""background""","50.4"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_throughput_up_mbps","client=""INVITADO_01"",ap=""AP_SALON"",band=""2.4GHz"",service=""background""","16.7"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_latency_ms","client=""INVITADO_01"",ap=""AP_SALON"",band=""2.4GHz"",service=""background""","20.2"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_jitter_ms","client=""INVITADO_01"",ap=""AP_SALON"",band=""2.4GHz"",service=""background""","6.1"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_packet_loss_percent","client=""INVITADO_01"",ap=""AP_SALON"",band=""2.4GHz"",service=""background""","0"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_retry_rate_percent","client=""INVITADO_01"",ap=""AP_SALON"",band=""2.4GHz"",service=""background""","7.5"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_qoe_score","client=""INVITADO_01"",ap=""AP_SALON"",band=""2.4GHz"",service=""background"",state=""Buena""","82"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_ap_status","ap=""AP_DORMITORIO"",role=""satellite_agent""","1"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_backhaul_rssi_dbm","ap=""AP_DORMITORIO"",type=""WiFi-5GHz""","-50.1"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_backhaul_rate_mbps","ap=""AP_DORMITORIO"",type=""WiFi-5GHz""","779.1"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_backhaul_latency_ms","ap=""AP_DORMITORIO"",type=""WiFi-5GHz""","5.7"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_backhaul_packet_loss_percent","ap=""AP_DORMITORIO"",type=""WiFi-5GHz""","0"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_radio_utilization_percent","ap=""AP_DORMITORIO"",radio=""wlan0"",band=""2.4GHz"",channel=""6"",standard=""802.11n/ax""","35.9"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_radio_noise_dbm","ap=""AP_DORMITORIO"",radio=""wlan0"",band=""2.4GHz"",channel=""6"",standard=""802.11n/ax""","-91.9"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_radio_sta_count","ap=""AP_DORMITORIO"",radio=""wlan0"",band=""2.4GHz"",channel=""6"",standard=""802.11n/ax""","1"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_radio_bytes_sent","ap=""AP_DORMITORIO"",radio=""wlan0"",band=""2.4GHz"",channel=""6"",standard=""802.11n/ax""","737752002"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_radio_bytes_received","ap=""AP_DORMITORIO"",radio=""wlan0"",band=""2.4GHz"",channel=""6"",standard=""802.11n/ax""","32981642"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_radio_utilization_percent","ap=""AP_DORMITORIO"",radio=""wlan2"",band=""5GHz"",channel=""149"",standard=""802.11ac/ax""","29.4"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_radio_noise_dbm","ap=""AP_DORMITORIO"",radio=""wlan2"",band=""5GHz"",channel=""149"",standard=""802.11ac/ax""","-93.9"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_radio_sta_count","ap=""AP_DORMITORIO"",radio=""wlan2"",band=""5GHz"",channel=""149"",standard=""802.11ac/ax""","1"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_radio_bytes_sent","ap=""AP_DORMITORIO"",radio=""wlan2"",band=""5GHz"",channel=""149"",standard=""802.11ac/ax""","737875458"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_radio_bytes_received","ap=""AP_DORMITORIO"",radio=""wlan2"",band=""5GHz"",channel=""149"",standard=""802.11ac/ax""","33327320"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_signal_dbm","client=""TABLET"",ap=""AP_DORMITORIO"",band=""5GHz"",service=""web""","-48.9"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_snr_db","client=""TABLET"",ap=""AP_DORMITORIO"",band=""5GHz"",service=""web""","45.0"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_phy_rate_down_mbps","client=""TABLET"",ap=""AP_DORMITORIO"",band=""5GHz"",service=""web""","910.5"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_phy_rate_up_mbps","client=""TABLET"",ap=""AP_DORMITORIO"",band=""5GHz"",service=""web""","564.5"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_throughput_down_mbps","client=""TABLET"",ap=""AP_DORMITORIO"",band=""5GHz"",service=""web""","57.6"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_throughput_up_mbps","client=""TABLET"",ap=""AP_DORMITORIO"",band=""5GHz"",service=""web""","19.3"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_latency_ms","client=""TABLET"",ap=""AP_DORMITORIO"",band=""5GHz"",service=""web""","10.9"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_jitter_ms","client=""TABLET"",ap=""AP_DORMITORIO"",band=""5GHz"",service=""web""","4.1"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_packet_loss_percent","client=""TABLET"",ap=""AP_DORMITORIO"",band=""5GHz"",service=""web""","0"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_retry_rate_percent","client=""TABLET"",ap=""AP_DORMITORIO"",band=""5GHz"",service=""web""","3.3"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_client_qoe_score","client=""TABLET"",ap=""AP_DORMITORIO"",band=""5GHz"",service=""web"",state=""Buena""","100"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_mobile_qoe_state","client=""MOVIL_SARA"",ap=""AP_SALON"",state=""Buena"",reason=""radio cargada""","4"
"2026-07-01T07:51:25Z","mixed","easymesh_sim_last_update_timestamp_seconds","","1782892285"
