"timestamp_export","query_name","promql","json_file","csv_file","status","result_count"
"2026-06-24 19:48:11","21_csv_latest_snapshot","easymesh_csv_latest_snapshot_timestamp_seconds{kind=""tr181""}","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\21_csv_latest_snapshot_20260624_194811.json","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\21_csv_latest_snapshot_20260624_194811.csv","success","1"
"2026-06-24 19:48:11","22_csv_tr181_qoe","easymesh_csv_tr181_numeric_value{parameter=""Device.X_SARA_QoE.QoEScore""}","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\22_csv_tr181_qoe_20260624_194811.json","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\22_csv_tr181_qoe_20260624_194811.csv","success","1"
"2026-06-24 19:48:11","23_csv_tr181_rssi","easymesh_csv_tr181_numeric_value{parameter=""Device.X_SARA_QoE.SignalStrength""}","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\23_csv_tr181_rssi_20260624_194811.json","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\23_csv_tr181_rssi_20260624_194811.csv","success","1"
"2026-06-24 19:48:11","24_csv_tr181_latency","easymesh_csv_tr181_numeric_value{parameter=""Device.X_SARA_QoE.LatencyMs""}","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\24_csv_tr181_latency_20260624_194811.json","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\24_csv_tr181_latency_20260624_194811.csv","success","1"
"2026-06-24 19:48:12","25_csv_tr181_packet_loss","easymesh_csv_tr181_numeric_value{parameter=""Device.X_SARA_QoE.PacketLossPercent""}","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\25_csv_tr181_packet_loss_20260624_194811.json","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\25_csv_tr181_packet_loss_20260624_194811.csv","success","1"
"2026-06-24 19:48:12","26_csv_tr181_eventos","easymesh_csv_tr181_info{parameter=~"".*Event.*""}","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\26_csv_tr181_eventos_20260624_194811.json","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\26_csv_tr181_eventos_20260624_194811.csv","success","6"
"2026-06-24 19:48:12","27_csv_tr181_escenario","easymesh_csv_tr181_info{parameter=~"".*Scenario.*""}","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\27_csv_tr181_escenario_20260624_194811.json","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\27_csv_tr181_escenario_20260624_194811.csv","success","2"
"2026-06-24 19:48:12","28_genieacs_up","genieacs_up","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\28_genieacs_up_20260624_194811.json","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\28_genieacs_up_20260624_194811.csv","success","1"
"2026-06-24 19:48:12","29_genieacs_agents","easymesh_agent_number","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\29_genieacs_agents_20260624_194811.json","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\29_genieacs_agents_20260624_194811.csv","success","1"
"2026-06-24 19:48:12","30_genieacs_clients","easymesh_total_client_number","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\30_genieacs_clients_20260624_194811.json","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\30_genieacs_clients_20260624_194811.csv","success","1"
"2026-06-24 19:48:12","31_genieacs_rssi","easymesh_client_signal_strength_dbm","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\31_genieacs_rssi_20260624_194811.json","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\31_genieacs_rssi_20260624_194811.csv","success","1"
"2026-06-24 19:48:12","32_genieacs_qoe","easymesh_client_qoe_state","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\32_genieacs_qoe_20260624_194811.json","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\32_genieacs_qoe_20260624_194811.csv","success","1"
"2026-06-24 19:48:12","33_genieacs_radio","easymesh_radio_utilization_avg_percent","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\33_genieacs_radio_20260624_194811.json","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\33_genieacs_radio_20260624_194811.csv","success","2"
"2026-06-24 19:48:12","34_genieacs_backhaul","easymesh_backhaul_rssi_dbm","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\34_genieacs_backhaul_20260624_194811.json","C:\EasyMesh-Lab\tfg-resultados\evidencias\prometheus\34_genieacs_backhaul_20260624_194811.csv","success","2"
